pais,fonte,estadio_atual,cidade_atual,qtd_jogos,confrontos,competicoes,estadio_correto,cidade_correta,lat,lng,observacoes
Brasil,FMF,,,56,"A.A. CORUMBIARA x BEIRA RIO EC (2026-07-26); A.E. IMPERATRIZ x PADRE EUSTAQUIO FC (2026-07-26); AA AIURUOCA x MBS FUTEBOL CLUBE (2026-07-26); AA ETELVINA CARNEIRO x AA RACA NEGRA (2026-07-26); AA OURO PRETO x RIO PETROPOLIS FC (2026-07-26); AE AGUIA DOURADA x TORNADO (2026-07-26) (+50)",Brasil - FMF - SFAC ADULTO - SÉRIE C - 2026 | Brasil - FMF - 1ª Divisão - 2026 | Brasil - FMF - FEMININO - 2026,,,,,estadio/cidade nao publicados pela FMF (jogo ainda nao agendado)
Argentina,AFA,,,36,"Everton x Barrancas F.C. (2026-07-25); Estudiantes Río IV x Tigre (2026-07-25); Leones F.C. x Ctral. Córdoba (R.) (2026-07-25); Tristán Suárez x Chacarita Jrs. (2026-07-25); Náutico Hacoaj x Atl. Pilar (2026-07-25); S.A.T. x Provincial de Lobos (2026-07-25) (+30)",Argentina - Promocional Amateur | Argentina - Torneo Clausura | Argentina - Primera C | Argentina - Primera Nacional | Argentina - Torneo Federal A,,,,,amador argentino - estadio nao publicado na fonte
Bolivia,ESPN,,,8,"Always Ready x ABB (2026-08-19); Aurora x Universitario de Vinto (2026-08-19); Blooming x Oriente Petrolero (2026-08-19); Bolívar x The Strongest (2026-08-19); GV San José x Real Oruro (2026-08-19); Independiente Petrolero x Real Tomayapo (2026-08-19) (+2)",Bolivia - Copa Bolivia,,,,,estadio/cidade nao publicados na fonte
Peru,ESPN,Estadio Campeones del '36,Sullana,7,"Alianza Atlético x Cienciano del Cusco (2026-08-06); Atlético Grau x Comerciantes Unidos (2026-08-15); Alianza Atlético x Sporting Cristal (2026-08-22); Atlético Grau x Melgar (2026-08-29); Alianza Atlético x UTC (2026-09-05); Atlético Grau x Alianza Atlético (2026-09-12) (+1)",Peru - Liga 1,,,,,estadio nao esta no catalogo estadios_peru.js (adicionar coordenada)
Peru,FUTBOLPERUANO,,,5,"San Martín x Mannucci (2026-07-25); César Vallejo x U. Comercio (2026-07-25); ANBA x Melgar (2026-07-25); Callao FC x Pacífico FC (2026-07-25); Juan Pablo II x Cienciano (2026-07-25)",Peru - Liga 2 | Peru - Liga 3 | Peru - Liga 1,,,,,estadio/cidade nao publicados na fonte
Peru,ESPN,Juan Maldonado Gamarra,"Cutervo, Cajamarca",4,"Comerciantes Unidos x Alianza Lima (2026-07-26); Comerciantes Unidos x Cusco FC (2026-08-07); Comerciantes Unidos x FC Cajamarca (2026-08-29); Comerciantes Unidos x Sport Huancayo (2026-09-12)",Peru - Liga 1,,,,,estadio nao esta no catalogo estadios_peru.js (adicionar coordenada)
Peru,ESPN,Estadio Monumental de Lima,Lima,3,"Universitario x Sporting Cristal (2026-08-07); Universitario x Los Chankas (2026-08-22); Universitario x Comerciantes Unidos (2026-09-05)",Peru - Liga 1,,,,,estadio nao esta no catalogo estadios_peru.js (adicionar coordenada)
Peru,ESPN,Estadio Germán Contreras,Cajabamba,3,"UTC x Comerciantes Unidos (2026-08-22); UTC x Universitario (2026-08-29); UTC x Juan Pablo II (2026-09-12)",Peru - Liga 1,,,,,estadio nao esta no catalogo estadios_peru.js (adicionar coordenada)
Brasil,FMF,Estádio Cel. Afonso de Moura Castro,Itabirito,3,"ITABIRITO x CRUZEIRO - SAF (2026-09-13); ITABIRITO x AMERICA (2026-09-20); ITABIRITO x DEMOCRATA GV (2026-10-17)",Brasil - FMF - FEMININO - 2026,,,,,tem cidade Itabirito (em CIDADES_MG) - conferir por que nao resolveu
Uruguay,AUF,ESTADIO RAUL S. GOYENOLA,,2,"Tacuarembó x Plaza Colonia (2026-07-25); Tacuarembó x River Plate (2026-07-25)",Uruguay - Segunda División Profesional,,,,,estadio nao esta no catalogo estadios_uruguay.js (adicionar coordenada)
Peru,ESPN,Complejo Deportivo Juan Pablo II,Chongoyape,2,"Juan Pablo II x Cienciano del Cusco (2026-07-25); Juan Pablo II x Atlético Grau (2026-08-08)",Peru - Liga 1,,,,,estadio nao esta no catalogo estadios_peru.js (adicionar coordenada)
Brasil,CBF,Aflitos,Recife,2,"Náutico (PE) x Atlético (GO) (2026-08-09); Náutico (PE) x Ceará (CE) (2026-08-18)",Brasil - Série B,,,,,estadio dos Aflitos (Recife) nao esta em estadios_brasil.js - adicionar coordenada
Chile,cf3.cl,Mun. de Pichidegua,,1,Chimbarongo FC x Constitución Unido (2026-07-25),Tercera A,,,,,estadio nao esta no catalogo estadios_chile.js (adicionar coordenada)
Chile,cf3.cl,COINAC (Cancha),,1,Nacimiento CDSC x Deportes Valdivia (2026-07-25),Tercera B - Sur,,,,,estadio nao esta no catalogo estadios_chile.js (adicionar coordenada)
Uruguay,AUF,ESTADIO JUAN PRANDI,,1,Plaza Colonia x Miramar Misiones (2026-07-25),Uruguay - Segunda División Profesional,,,,,estadio nao esta no catalogo estadios_uruguay.js (adicionar coordenada)
Brasil,FMF,Antônio Guimarães de Almeida,Tombos,1,TOMBENSE x SC AYMORES (2026-07-26),Brasil - FMF - SUB 20 - 2ª Divisão - 2026,,,,,cidade Tombos nao esta em CIDADES_MG - adicionar
Chile,campeonatochileno.cl,Estadio Universitario,,1,U. de Concepción Femenino x Santiago Wanderers Femenino (2026-07-26),Liga Femenina,,,,,estadio nao esta no catalogo estadios_chile.js (adicionar coordenada)
Uruguay,AUF,ATENAS,,1,Atenas de San Carlos x Colón (2026-07-26),Uruguay - Segunda División Profesional,,,,,estadio nao esta no catalogo estadios_uruguay.js (adicionar coordenada)
Uruguay,AUF,PARQUE CAPURRO,,1,Fénix x Atenas de San Carlos (2026-07-26),Uruguay - Segunda División Profesional,,,,,estadio nao esta no catalogo estadios_uruguay.js (adicionar coordenada)
Chile,campeonatochileno.cl,Estadio Bicentenario Iván Azócar Bernales,,1,Rangers de Talca x Deportes Copiapó (2026-07-26),Liga de Ascenso Caixun,,,,,estadio nao esta no catalogo estadios_chile.js (adicionar coordenada)
Uruguay,AUF,PARQUE MARACANA,,1,Cerrito x Fénix (2026-07-26),Uruguay - Segunda División Profesional,,,,,estadio nao esta no catalogo estadios_uruguay.js (adicionar coordenada)
Paraguay,APF,Estadio ueno Defensores del Chaco,,1,Club Olimpia x Club Libertad (2026-07-26),Paraguay - APF - Copa de Primera,,,,,estadio nao esta no catalogo estadios_paraguay.js (adicionar coordenada)
Uruguay,AUF,ESTADIO ARTIGAS DE PAYSANDU,,1,Paysandú FC x Oriental de La Paz (2026-07-27),Uruguay - Segunda División Profesional,,,,,estadio nao esta no catalogo estadios_uruguay.js (adicionar coordenada)
Colombia,ESPN,Estadio Enrique Olaya Herrera,Bogota,1,Bogotá FC x Deportivo Pasto (2026-07-28),Colombia - Copa BetPlay,,,,,estadio nao esta no catalogo estadios_colombia.js (adicionar coordenada)
